# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c2019ed228
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
128533c81724f980,main_70_gpu,5464.58,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191720,37993,136289,18135,585,0,195024,0,0,2920,0,519396,2663166,161836,1874646,0,150001,4672,149504,0,143510035,3134512,9046732,0,5244418,8853278,4824305,0,0,12829994,5929166
128533c817786940,main_74_gpu_red,20.32,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3198,514,3056,0,1,8,256,0,87674,11439,2056,0,1,2096,1,0,0,2872,2
128533c81778c7c0,memcpyDtoHasync,2.368,5496,,,,,,,,,,,0,0,8,0
128533c8177c0440,main_58_gpu,5105.57,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149888,37472,122474,6446,586,0,172848,0,0,0,0,373090,2378330,148242,1557992,0,149592,4672,149504,0,139612791,2925636,8350048,0,5236226,8860958,4408701,0,0,12828743,5413164
128533c817ca5220,memcpyHtoD,1.696,5056,,,,,,,,,,,0,0,8,0
128533c817cbaa60,main_70_gpu,5469.54,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136289,18135,585,0,195374,0,0,2925,0,519215,2667168,161935,1875078,0,149969,4680,149760,0,143618882,3128632,9068104,0,5244418,8853551,4824559,0,0,12835414,5930420
128533c8181f2d80,main_74_gpu_red,20.448,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3198,514,3056,0,1,8,256,0,86465,11423,2056,0,1,2096,1,0,0,2872,2
128533c8181f8c80,memcpyDtoHasync,2.272,5501,,,,,,,,,,,0,0,8,0
128533c81822c8c0,main_58_gpu,5111.1,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149696,37424,122265,6435,585,0,173160,0,0,0,0,373292,2381388,148455,1555332,0,149368,4680,149760,0,139589314,2927602,8344780,0,5236226,8856120,4404552,0,0,12832383,5410783
128533c818712960,memcpyHtoD,1.728,5060,,,,,,,,,,,0,0,8,0
