# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c201acad28
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
1285339f6768ac20,main_71_gpu,5211.55,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,34176,34176,107217,5643,513,0,155384,0,0,0,0,40974,1525744,101674,1207480,0,139416,4600,147200,0,145934457,3026576,6162780,0,5236226,8893265,4482709,0,0,13009113,5676878
1285339f67b8a120,memcpyHtoD,1.696,5150,,,,,,,,,,,0,0,8,0
1285339f67ba2360,main_58_gpu,5476.48,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,190816,37814,135357,18011,581,0,192718,0,0,2895,0,511720,2654755,161259,1852204,0,148186,4648,148736,0,143813456,3131224,9323648,0,5244418,9112273,4775674,0,0,12974795,5908497
1285339f680dc140,main_62_gpu_red,20.512,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,86430,11435,2056,0,1,2088,1,0,0,2860,2
1285339f680e2020,memcpyDtoHasync,2.272,5506,,,,,,,,,,,0,0,8,0
1285339f6812c4a0,main_71_gpu,5327.97,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32704,32704,106783,5621,511,0,169016,0,0,0,0,34502,1636256,113759,1174028,0,135464,4336,138752,0,144158905,3060458,6167520,0,5236226,8902788,4480048,0,0,13016584,5672413
1285339f686487a0,memcpyHtoD,1.696,5270,,,,,,,,,,,0,0,8,0
1285339f686608c0,main_58_gpu,5501.38,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,190816,37814,134658,17918,578,0,192718,0,0,2890,0,510221,2654338,160128,1858616,0,148630,4720,151040,0,143525077,3142124,9392984,0,5244418,9169348,4744872,0,0,13023809,5890285
1285339f68ba07e0,main_62_gpu_red,20.48,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,86631,11434,2056,0,1,2083,1,0,0,2860,2
1285339f68ba66a0,memcpyDtoHasync,2.272,5532,,,,,,,,,,,0,0,8,0
1285339f68be0da0,main_71_gpu,5346.88,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,34736,34736,107844,5676,516,0,165136,0,0,0,0,34105,1450217,98090,1165452,0,134568,4448,142336,0,143087308,2990416,6156748,0,5236226,8915257,4511184,0,0,13240018,5731910
1285339f69101040,memcpyHtoD,1.696,5287,,,,,,,,,,,0,0,8,0
1285339f69118c80,main_58_gpu,5499.62,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,194504,38545,134441,17887,577,0,192034,0,0,2880,0,509831,2660362,160782,1852636,0,148122,4848,155136,0,144253106,3156588,9425348,0,5244418,9171416,4700279,0,0,13246537,5872615
1285339f696584c0,main_62_gpu_red,20.544,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,86761,11403,2056,0,1,2092,1,0,0,2860,2
1285339f6965e3c0,memcpyDtoHasync,2.272,5530,,,,,,,,,,,0,0,8,0
1285339f69697b80,main_71_gpu,5318.56,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32448,32448,107378,5654,514,0,178144,0,0,0,0,33907,1502906,103127,1123424,0,129776,4104,131328,0,143549132,3073660,6145864,0,5236226,8942021,4494368,0,0,13089232,5695038
1285339f69bc2a80,memcpyHtoD,1.696,5331,,,,,,,,,,,0,0,8,0
1285339f69bdde60,main_58_gpu,5505.66,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,192704,38188,134907,17949,579,0,191700,0,0,2865,0,506961,2661456,160390,1845792,0,147624,4760,152320,0,143816927,3157516,9460240,0,5244418,9301213,4685717,0,0,13289878,5860869
1285339f6a11ee40,main_62_gpu_red,20.608,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3198,514,3056,0,1,8,256,0,86951,11395,2056,0,1,2088,1,0,0,2860,2
1285339f6a124d80,memcpyDtoHasync,2.272,5535,,,,,,,,,,,0,0,8,0
1285339f6a15e380,main_71_gpu,5324.51,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32640,32640,119114,6270,570,0,176416,0,0,0,0,36108,1549673,107452,1138908,0,131584,4184,133888,0,146381063,2988708,6149612,0,5236226,8977981,4489013,0,0,13123193,5690992
1285339f6a678b80,memcpyHtoD,1.696,5183,,,,,,,,,,,0,0,8,0
1285339f6a690680,main_58_gpu,5517.28,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,192456,38139,134160,17856,576,0,191334,0,0,2870,0,506193,2650558,159971,1842586,0,147351,4736,151552,0,143862660,3158254,9489268,0,5244418,9302540,4650940,0,0,13494813,5847058
1285339f6abd43c0,main_62_gpu_red,20.64,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87040,11449,2056,0,1,2088,1,0,0,2850,2
1285339f6abda320,memcpyDtoHasync,2.272,5633,,,,,,,,,,,0,0,8,0
1285339f6ac28800,main_71_gpu,5295.46,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32608,32608,106365,5599,509,0,169296,0,0,0,0,33927,1451503,98636,1214116,0,140272,4784,153088,0,147022967,3015372,6146732,0,5236226,8883394,4505022,0,0,13209576,5716465
1285339f6b13c220,memcpyHtoD,1.664,5235,,,,,,,,,,,0,0,8,0
1285339f6b1540e0,main_58_gpu,5513.28,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,196312,38903,133742,17794,574,0,191048,0,0,2855,0,503398,2652686,160429,1849430,0,147985,4752,152064,0,143604262,3150296,9508528,0,5244418,9322350,4643555,0,0,13536274,5835812
1285339f6b696e60,main_62_gpu_red,20.48,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,86526,11421,2056,0,1,2088,1,0,0,2860,2
